number,model,rating,final_price,original_price,price_difference
1,realme 3 (black 64 gb),4.6,10999,12999,2000.0
2,realme 3 (black 32 gb),4.6,8999,10999,2000.0
3,realme 3 (dynamic black 64 gb),4.6,10999,12999,2000.0
4,honor 10 lite (sapphire blue 32 gb),0,11999,13999,2000.0
5,realme 3 (dynamic black 32 gb),4.6,8999,10999,2000.0
6,redmi note 6 pro (black 64 gb),4.5,11999,15999,4000.0
7,redmi note 7 (onyx black 32 gb),4.6,9999,12999,3000.0
8,redmi note 6 pro (rose gold 64 gb),4.5,11999,15999,4000.0
9,redmi note 6 pro (blue 64 gb),4.5,11999,15999,4000.0
10,honor 9n (midnight black 32 gb),4.4,8499,13999,5500.0
11,honor 9n (sapphire blue 32 gb),4.4,8499,13999,5500.0
12,honor 9n (midnight black 64 gb),4.3,9999,15999,6000.0
13,redmi note 7 (sapphire blue 64 gb),4.6,11999,14999,3000.0
14,motorola one power (black 64 gb),4.4,13999,18999,5000.0
15,honor 9n (sapphire blue 64 gb),4.3,9999,15999,6000.0
16,redmi 6 (rose gold 32 gb),4.4,7999,8999,1000.0
17,redmi note 7 (onyx black 64 gb),4.6,11999,14999,3000.0
18,redmi note 6 pro (red 64 gb),4.5,11999,15999,4000.0
19,redmi y2 (blue 32 gb),4.5,8999,10499,1500.0
20,niamia cad1,3.6,749,1249,500.0
21,redmi y2 (black 32 gb),4.5,8999,10499,1500.0
22,honor 9 lite (midnight black 32 gb),4.3,7999,13999,6000.0
23,realme 2 pro (black sea 64 gb),4.5,12990,14990,2000.0
24,niamia cad 1 combo of two mobiles,3.1,1349,2249,900.0
25,honor 7a (blue 32 gb),4.3,7499,10999,3500.0
26,honor 7a (black 32 gb),4.3,7499,10999,3500.0
27,honor 7s (blue 16 gb),4.1,5499,8999,3500.0
28,panasonic p101 (black 16 gb),4.1,4499,7999,3500.0
29,vivo y81 (black 32 gb),4.4,10990,13990,3000.0
30,honor 10 lite (sapphire blue 32 gb),0,11999,13999,2000.0
31,vivo y81 (black 32 gb),4.2,12490,14990,2500.0
32,redmi 6 (black 64 gb),4.4,8499,10499,2000.0
33,oppo k1 (astral blue 64 gb),4.5,16990,18990,2000.0
34,motorola one power (black 64 gb),4.4,13999,18999,5000.0
35,oppo k1 (piano black 64 gb),4.5,16990,18990,2000.0
36,redmi note 5 pro (gold 64 gb),4.5,13999,16999,3000.0
37,honor 10 lite (midnight black 64 gb),4.4,13999,16999,3000.0
38,redmi 6 (gold 64 gb),4.4,8499,10499,2000.0
39,honor 10 lite (sapphire blue 64 gb),4.4,17999,18999,1000.0
40,niamia cad1,3.6,749,1249,500.0
41,honor 10 lite (sapphire blue 64 gb),4.4,13999,16999,3000.0
42,vivo y93 (nebula purple 64 gb),4.4,11990,14990,3000.0
43,vivo y93 (starry black 64 gb),4.4,11990,14990,3000.0
44,niamia cad 1 combo of two mobiles,3.1,1349,2249,900.0
45,vivo v9 pro (black 64 gb),4.5,14990,17990,3000.0
46,redmi note 7 (ruby red 64 gb),4.6,11999,14999,3000.0
47,redmi 6 (blue 64 gb),4.4,8499,10499,2000.0
48,nokia 105 dual sim 2017,4.2,1249,1249,0.0
49,redmi note 5 pro (gold 64 gb),4.5,12999,14999,2000.0
50,honor 10 lite (sapphire blue 32 gb),0,11999,13999,2000.0
51,karbonn k24+,3.8,922,922,0.0
52,vivo y81i (black 16 gb),4.4,7990,10990,3000.0
53,redmi 6a (black 32 gb),4.3,7090,7090,0.0
54,motorola one power (black 64 gb),4.4,13999,18999,5000.0
55,redmi 6a (blue 32 gb),4.3,7290,7290,0.0
56,infinix smart 2 (sandstone black 16 gb),4.1,4999,6999,2000.0
57,infinix smart 2 (bordeaux red 16 gb),4.1,4999,6999,2000.0
58,oppo f9 pro (starry purple 64 gb),4.5,19990,25990,6000.0
59,samsung galaxy on nxt (gold 64 gb),4.3,10490,17900,7410.0
60,niamia cad1,3.6,749,1249,500.0
61,lava kkt 40 power plus,4.1,1599,1599,0.0
62,oppo a3s (purple 16 gb),4.3,8990,11990,3000.0
63,oppo a3s (red 16 gb),4.3,8990,11990,3000.0
64,niamia cad 1 combo of two mobiles,3.1,1349,2249,900.0
65,redmi note 6 pro (rose gold 64 gb),4.5,15999,17999,2000.0
66,redmi note 5 pro (red 64 gb),4.5,13999,16999,3000.0
67,gionee x1s (black 16 gb),4.1,6399,6399,0.0
68,karbonn k9,3.9,1090,1090,0.0
69,vivo v11 (starry night black 64 gb),4.4,19990,24990,5000.0
70,niamia cad 2 combo of two mobiles,0,1749,2915,1166.0
71,nokia ta-1010/nokia 105,4.2,1099,1099,0.0
72,infinix smart 2 (serene gold 16 gb),4.1,4999,6999,2000.0
73,karbonn k324n,3.8,990,990,0.0
74,honor 10 lite (sapphire blue 32 gb),0,11999,13999,2000.0
75,samsung galaxy on max (black 32 gb),4.3,10990,16900,5910.0
76,micromax spark go (silver 8 gb),4.2,3499,4999,1500.0
77,nokia ta -1010/ nokia 105,4.2,1099,1099,0.0
78,samsung metro 313 dual sim,4.2,1990,1990,0.0
79,nokia 150,4.2,1976,1976,0.0
80,motorola one power (black 64 gb),4.4,13999,18999,5000.0
81,samsung guru music 2,4.3,1625,1760,135.0
82,vivo y93 (nebula purple 32 gb),4.4,12990,15990,3000.0
83,i kall k18 new,3.7,587,587,0.0
84,niamia cad1,3.6,749,1249,500.0
85,samsung galaxy j8 (black 64 gb),4.4,14990,17000,2010.0
86,vivo v11 pro (starry night black 64 gb),4.5,23990,28990,5000.0
87,aqua j3,3.8,550,550,0.0
88,lenovo a5 (black 32 gb),4.1,7499,7999,500.0
89,samsung galaxy j4 plus (black 32 gb),4.3,8490,9000,510.0
90,niamia cad 1 combo of two mobiles,3.1,1349,2249,900.0
91,poco f1 by xiaomi (graphite black 256 gb),4.6,27999,30999,3000.0
92,lenovo a5 (black 16 gb),4.2,6499,6999,500.0
93,infocus a3 (platinum gold 16 gb),3.8,4525,4525,0.0
94,niamia cad 2 combo of two mobiles,0,1749,2915,1166.0
95,gionee f205 pro (blue 16 gb),4.2,5890,6990,1100.0
96,i kall k3310 combo of two mobile,3.7,1099,1099,0.0
97,infinix smart 2 (city blue 32 gb),4,5999,7999,2000.0
98,infinix smart 2 (bordeaux red 32 gb),4,5999,7999,2000.0
99,micromax bharat 5 infinity edition (matte blue 16 gb),4,5249,6999,1750.0
100,honor 10 lite (sapphire blue 32 gb),0,11999,13999,2000.0
101,asus zenfone 4 selfie (gold 32 gb),4.1,7499,10999,3500.0
102,nokia 106,4.2,1327,1327,0.0
103,nokia 2.1 (blue&copper 8 gb),4.1,5875,5875,0.0
104,motorola one power (black 64 gb),4.4,13999,18999,5000.0
105,aqua maze,3.6,629,629,0.0
106,nokia 130,4.2,1710,1710,0.0
107,nokia 130,4.2,1710,1710,0.0
108,karbonn k111 superstar,3.8,1249,1249,0.0
109,samsung metro 313 dual sim,4.2,2025,2120,95.0
110,niamia cad1,3.6,749,1249,500.0
111,lava spark i8,4.1,1489,1489,0.0
112,lava spark i8,4.1,1489,1489,0.0
113,kechaoda k116 plus,4,963,963,0.0
114,niamia cad 1 combo of two mobiles,3.1,1349,2249,900.0
115,i kall k3310 combo of two mobile,3.7,1079,1079,0.0
116,samsung galaxy j2 2018 (gold 16 gb),4.2,7490,8200,710.0
117,oppo a7 (glaze blue 64 gb),4.3,16990,18990,2000.0
118,samsung galaxy s10 (prism black 128 gb),4.7,66900,71000,4100.0
119,samsung galaxy j8 (gold 64 gb),4.4,14990,17000,2010.0
120,niamia cad 2 combo of two mobiles,0,1749,2915,1166.0
121,kechaoda k10,4,845,845,0.0
122,mi a2 (red 128 gb),4.2,16890,16890,0.0
123,lava spark i8,4.1,1489,1489,0.0
124,honor 10 lite (sapphire blue 32 gb),0,11999,13999,2000.0
125,lava spark i8,4.1,1489,1489,0.0
126,redmi 6a (gold 16 gb),4.3,6999,6999,0.0
127,vivo v7+ (matte black 64 gb),4.4,19990,21990,2000.0
128,jivi x93 grand,4.1,869,869,0.0
129,infocus hero smart p4,3.9,700,700,0.0
130,motorola one power (black 64 gb),4.4,13999,18999,5000.0
131,i kall k3310 combo of two mobile,3.7,1079,1079,0.0
132,samsung galaxy j2 2018 (gold 16 gb),4.2,7490,8200,710.0
133,nokia 7.1 (glossy steel 64 gb),4.4,19299,19299,0.0
134,niamia cad1,3.6,749,1249,500.0
135,kechaoda k66 plus,4,920,920,0.0
136,oppo a7 (glaze blue 64 gb),4.3,16990,18990,2000.0
137,nokia 1 (warm red 8 gb),4,4397,4397,0.0
138,samsung galaxy s10 (prism black 128 gb),4.7,66900,71000,4100.0
139,kechaoda k-55 plus,4,970,970,0.0
140,niamia cad 1 combo of two mobiles,3.1,1349,2249,900.0
141,peace p1,3.7,525,525,0.0
142,oppo f9 (stellar purple 64 gb),4.4,16990,21990,5000.0
143,samsung galaxy j8 (gold 64 gb),4.4,14990,17000,2010.0
144,niamia cad 2 combo of two mobiles,0,1749,2915,1166.0
145,gionee s10 lite (black 32 gb),4.1,7890,7890,0.0
146,jivi x93 grand,4.1,869,869,0.0
147,kechaoda k116 plus,3.9,965,965,0.0
148,samsung galaxy j6 (gold 64 gb),4.3,11990,12900,910.0
149,nokia 7.1 (glossy steel 64 gb),4.4,19299,19299,0.0
150,honor 10 lite (sapphire blue 32 gb),0,11999,13999,2000.0
151,zen z16,4,1184,1184,0.0
152,tecno camon i ace (gold champagne gold 16 gb),4.2,6199,6199,0.0
153,nokia 216,4.2,2599,2599,0.0
154,motorola one power (black 64 gb),4.4,13999,18999,5000.0
155,kechaoda a26,4.1,948,948,0.0
156,mobiistar c1 (gold 16 gb),4.1,5299,5299,0.0
157,mobiistar c1 (black 16 gb),4.1,5299,5299,0.0
158,mobiistar c1 (blue 16 gb),4.1,4999,4999,0.0
159,lava z60 (gold 16 gb),3.9,4499,6499,2000.0
160,niamia cad1,3.6,749,1249,500.0
161,micromax x088+,3.9,785,999,214.0
162,lenovo phab 2 (champagne gold 32 gb),4,9999,9999,0.0
163,redmi note 5 pro (blue 64 gb),4.5,12999,14999,2000.0
164,niamia cad 1 combo of two mobiles,3.1,1349,2249,900.0
165,karbonn k24 plus,3.9,898,898,0.0
166,micromax x803,4,1359,1359,0.0
167,karbonn jumbo k9,3.8,1189,1189,0.0
168,forme n9+ selfie camera  wireless fm dual sim (black) moile phone,3.5,649,649,0.0
169,karbonn jumbo k9,3.8,1099,1099,0.0
170,honor 10 lite (sapphire blue 32 gb),0,11999,13999,2000.0
171,apple iphone 6s plus (gold 32 gb),4.4,33999,34900,901.0
172,nokia 6.1 (iron white 32 gb),4.1,11540,11540,0.0
173,gfive plus,3.6,675,675,0.0
174,motorola one power (black 64 gb),4.4,13999,18999,5000.0
175,jivi banana 6,3.9,999,999,0.0
176,nokia 3.1 plus (white 32 gb),4.2,9399,9399,0.0
177,samsung galaxy j4 (gold 16 gb),4.3,8750,9600,850.0
178,mi mix 2 (black 128 gb),4.3,29999,37999,8000.0
179,lava spark i8,4.1,1489,1489,0.0
180,niamia cad1,3.6,749,1249,500.0
